Species,Plant type,ACT,NSW,NT,QLD,SA,VIC,WA,Number of growers,Number of States,Origin,Count,Synonym
Abelia grandiflora,Shrub,7,16,1,10,2,17,5,58,7,Exotic,,
Abelia grandiflora Dwarf,Shrub,,12,1,13,,19,,45,4,Exotic,,
Abelia grandiflora Nana,Shrub,2,17,,2,2,21,1,45,6,Exotic,,
Acacia boormanii,Shrub,9,9,,,,17,,35,3,Native,,
Acacia cognata,Shrub,4,3,,2,,32,,41,4,Native,,
Acacia cognata Dazzler,Shrub,,4,,,,27,,31,2,Native,,
Acacia cognata Lime Magik,Shrub,,4,,,,30,,34,2,Native,,
Acacia cognata Limelight,Shrub,,16,,1,,22,5,44,4,Native,,
Acacia cognata Mini Cog,Shrub,,5,,2,,15,3,25,4,Native,,
Acacia dealbata,Shrub,8,7,,,,14,,29,3,Native,,
Acacia fimbriata,Shrub,2,21,,42,,7,,72,4,Native,,
Acacia floribunda,Shrub,9,22,,9,,23,,63,4,Native ,,
Acacia implexa,Shrub,3,11,,2,,82,,98,4,Native ,,
Acacia iteaphylla,Shrub,3,3,,,,30,2,38,4,Native ,,
Acacia longifolia,Shrub,3,18,,2,,4,,27,4,Native,,
Acacia melanoxylon,Shrub,2,14,,21,2,87,1,127,6,Native,,
Acacia pendula,Shrub,3,1,,2,,23,,29,4,Native,,
Acacia podalyriifolia,Shrub,,10,,17,,6,2,35,4,Native,,
Acacia pycnantha,Shrub,2,4,,,1,34,,41,4,Native,,
Acalypha wilkesiana Firestorm,Shrub,,2,,32,1,,,35,3,Exotic,,
Acalypha wilkesiana Inferno,Shrub,,,,33,,,1,34,2,Exotic,,
Acanthus mollis,Herb,1,33,,3,1,16,2,56,6,Exotic,,
Acer buergerianum,Tree,7,24,,5,2,57,,95,5,Exotic,,
Acer japonicum Vitifolium,Tree,2,12,,,,31,,45,3,Exotic,,
Acer negundo Sensation,Tree,,15,,1,6,32,,54,4,Exotic,,
Acer palmatum,Tree,3,114,,5,5,124,5,256,6,Exotic,,
Acer palmatum Atropupreum,Tree,3,40,,1,,67,1,112,5,Exotic,,
Acer palmatum Bloodgood,Tree,1,19,,,,32,,52,3,Exotic,,
Acer palmatum Dissectum Atropurpureum,Tree,,12,,,,59,,71,2,Exotic,,
Acer palmatum Dissectum Emerald Lace,Tree,,3,,,,30,,33,2,Exotic,,
Acer palmatum Dissectum Ever Red,Tree,,8,,,,26,,34,2,Exotic,,
Acer palmatum Dissectum Germaines Gyration,Tree,,6,,,,26,,32,2,Exotic,,
Acer palmatum Dissectum Inabe Shidare,Tree,1,35,,1,,63,,100,4,Exotic,,
Acer palmatum Dissectum Orangeola,Tree,,6,,,,26,,32,2,Exotic,,
Acer palmatum Dissectum Seiryu,Tree,,19,,,,46,,65,2,Exotic,,
Acer palmatum Dissectum Viridis,Tree,1,11,,,,51,,63,3,Exotic,,
Acer palmatum Elegans,Tree,,4,,,,21,,25,2,Exotic,,
Acer palmatum Osakazuki,Tree,,22,,2,,40,,64,3,Exotic,,
Acer palmatum Sango Kaku,Tree,6,19,,2,,29,1,57,5,Exotic,,
Acer palmatum Seiryu,Tree,,12,,,,20,,32,2,Exotic,,
Acer palmatum Senkaki,Tree,,39,,,,72,,111,2,Exotic,,
Acer palmatum Shaina,Tree,,8,,,,25,,33,2,Exotic,,
Acer platanoides Crimson King,Tree,1,7,,,,22,,30,3,Exotic,,
Acer platanoides Crimson Sentry,Tree,6,28,,,,67,2,103,4,Exotic,,
Acer platanoides Globosum,Tree,1,9,,1,3,16,,30,5,Exotic,,
Acer rubrum,Tree,,7,,3,,15,,25,3,Exotic,,
Acer rubrum Autumn Red,Tree,,7,,,,47,,54,2,Exotic,,
Acer rubrum Fairview Flame,Tree,2,12,,1,,30,,45,4,Exotic,,
Acer rubrum October Glory,Tree,3,53,,6,4,63,1,130,6,Exotic,,
Acer spp. Pacific Sunset,Tree,,3,,,3,20,,26,3,Exotic,,
Acer x freemanii Jeffersred Autumn blaze,Tree,5,50,,2,,107,1,165,5,Exotic,,
Acorus gramineus Variegated,Grass,,10,,9,,5,1,25,4,Exotic,,
Acronychia imperforata,Tree,,6,,75,,,,81,2,Native,,
Adenanthos cunninghamii,Shrub,,5,,1,,14,8,28,4,Native,,
Adenanthos sericeus,Shrub,,11,,5,,27,16,59,4,Native,,
Adenanthos sericeus Silver Streak,Shrub,,6,,4,,25,1,36,4,Native,,
Adenium obesum,Herb,,14,8,30,,1,2,55,5,Exotic,,
Adiantum aethiopicum,Fern,1,10,1,10,,7,,29,5,Native,,
Aechmea blanchetiana,Herb,,3,1,24,,4,,32,4,Exotic,,
Aesculus hippocastanum,Tree,3,7,,,,19,,29,3,Exotic,,
Agapanthus orientalis Blue,Herb,1,28,,51,1,13,2,96,6,Exotic,,
Agapanthus orientalis Peter Pan,Herb,,10,,18,,25,4,57,4,Exotic,,
Agapanthus orientalis Queen Mum,Herb,1,7,,13,,9,4,34,5,Exotic,,
Agapanthus orientalis White,Herb,1,29,,48,1,9,3,91,6,Exotic,,
Agapanthus spp. Baby Blue,Herb,1,15,,4,,16,3,39,5,Exotic,,
Agapanthus spp. Black Magic,Herb,,6,,22,,4,3,35,4,Exotic,,
Agapanthus spp. Blue,Herb,,26,,51,,,4,81,3,Exotic,,
Agapanthus spp. Dwarf White,Herb,,6,,6,,25,1,38,4,Exotic,,
Agapanthus spp. Purple Cloud,Herb,1,16,,23,,17,4,61,5,Exotic,,
Agapanthus spp. Snowball,Herb,,25,,38,2,28,9,102,5,Exotic,,
Agapanthus spp. White,Herb,,17,,25,,,3,45,3,Exotic,,
Agapanthus spp. White,Herb,,10,,23,,,,33,2,Exotic,,
Agathis robusta,Tree,,32,,136,,21,,189,3,Native,,
Agave americana,Herb,,10,2,,13,2,2,29,5,Exotic,,
Agave attenuata,Herb,,91,2,,105,63,11,272,5,Exotic,,
Agave desmettiana El Morindas Gold,Herb,,12,,,6,15,,33,3,Exotic,,
Agave desmetiana Jacobi,Herb,,,,,,,,,3,Exotic,,
Agave geminiflora,Herb,,9,5,,11,21,,46,4,Exotic,,
Agonis flexuosa,Shrub,,9,,,,58,24,91,3,Native,,
Agonis flexuosa After Dark,Shrub,,3,,,,43,7,53,3,Native,,
Agonis flexuosa Burgundy,Shrub,,1,,,,72,7,80,3,Native,,
Agonis flexuosa Nana,Shrub,,4,,,1,14,14,33,4,Native,,
Ajuga reptans,Herb,1,19,1,10,,15,1,47,6,Exotic,,
Ajuga reptans Catlins Giant,Herb,1,23,,8,1,26,3,62,6,Exotic,,
Ajuga reptans Purpurea,Herb,,14,,5,,15,2,36,4,Exotic,,
Albizia julibrissin,Shrub,2,24,,1,,15,,42,4,Exotic,,
Alectryon coriaceus,Tree,,8,,27,,,,35,2,Native,,
Allocasuarina littoralis,Tree,5,36,,54,,90,,185,4,Native,,
Allocasuarina torulosa,Tree,,18,,26,,44,,88,3,Native,,
Allocasuarina verticillata,Tree,,5,,,2,75,,82,3,Native,,
Alloxylon flammeum,Tree,,12,,31,,,,43,2,Native,,
Alocasia brisbanensis,Herb,,8,,44,,,,52,2,Native,,
Alocasia macrorrhiza,Herb,,8,6,17,,6,1,38,5,Native,,
Aloe barberae,Tree,,4,3,28,,22,4,61,5,Exotic,,
Aloe vera ,Herb,,11,3,,16,25,4,59,5,Exotic,,
Alphitonia excelsa,Tree,,5,4,44,,1,,54,4,Native ,,
Alpinia caerulea,Herb,,21,1,52,,,,74,3,Native,,
Alpinia caerulea Red Back,Herb,,17,1,26,,2,2,48,5,Native,,
Alpinia caerulea Red Form,Herb,,5,,38,,,1,44,3,Native,,
Alpinia mutica,Herb,,,,40,,,,40,1,Exotic,,
Alpinia zerumbet,Herb,,11,1,23,,4,,39,4,Exotic,,
Alpinia zerumbet Variegated,Herb,,22,1,82,,12,2,119,5,Exotic,,
Alternanthera dentata,Shrub,,29,,24,,1,3,57,4,Exotic,,
Alternanthera dentata Little Ruby,Shrub,,28,2,33,,9,6,78,5,Exotic,,
Alyogyne huegelii West Coast Gem,Shrub,,5,,2,,22,9,38,4,Native,,
Angophora costata,Tree,,63,,9,4,109,4,189,5,Native,,
Angophora floribunda,Tree,,28,,3,,14,,45,3,Native,,
Angophora hispida,Tree,,6,,,2,24,,32,3,Native,,
Anigozanthos spp. Big Red,Herb,,16,,12,,18,9,55,4,Native,,
Anigozanthos spp. Bush Ballad ,Herb,2,8,,4,,11,2,27,5,Native,,
Anigozanthos spp. Bush Bonanza ,Herb,2,11,,9,,14,3,39,5,Native,,
Anigozanthos spp. Bush Dance ,Herb,,8,,6,,15,3,32,4,Native,,
Anigozanthos spp. Bush Diamond ,Herb,,13,,10,,16,3,42,4,Native,,
Anigozanthos spp. Bush Elegance ,Herb,1,8,,4,,17,3,33,5,Native,,
Anigozanthos spp. Bush Endeavour ,Herb,1,9,1,6,,9,3,29,6,Native,,
Anigozanthos spp. Bush Fury ,Herb,,9,1,4,,8,6,28,5,Native,,
Anigozanthos spp. Bush Gold,Herb,,11,,8,,11,4,34,4,Native,,
Anigozanthos spp. Bush Inferno ,Herb,1,8,,3,,13,4,29,5,Native,,
Anigozanthos spp. Bush Pearl ,Herb,2,14,,11,,15,7,49,5,Native,,
Anigozanthos spp. Bush Pizzazz ,Herb,,6,,7,,16,3,32,4,Native,,
Anigozanthos spp. Bush Revolution ,Herb,1,12,1,3,,7,3,27,6,Native,,
Anigozanthos spp. Bush Tango,Herb,,3,,5,,16,1,25,4,Native,,
Anigozanthos spp. Ruby Velvet ,Herb,,6,,1,,18,2,27,4,Native,,
Anigozanthos spp. Yellow Gem,Herb,,12,,14,,15,12,53,4,Native,,
Anigozanthus flavidus Green Form,Herb,,5,,4,,13,4,26,4,Native,,
Anigozanthus flavidus Red,Herb,,7,,1,,12,8,28,4,Native,,
Anigozanthus spp. Bush Ranger,Herb,,9,,9,,13,7,38,4,Native,,
Aptenia cordifolia,Herb,,10,,8,1,6,1,26,5,Exotic,,
Araucaria bidwillii,Tree,,26,2,29,,22,,79,4,Native,,
Araucaria cunninghamii,Tree,,48,,103,,13,,164,3,Native,,
Araucaria heterophylla,Tree,,60,5,59,3,34,4,165,6,Native,,
Araucaria heterophylla Hawaiian,Tree,,8,,33,,,,41,2,Native,,
Arbutus unedo,Tree,,12,,,3,28,1,44,4,Exotic,,
Archontophoenix alexandrae,Palm,,53,5,192,,17,14,281,5,Native,,
Archontophoenix cunninghamiana,Palm,,113,4,167,,53,14,351,5,Native,,
Arenaria montana,Herb,,12,,1,,14,2,29,4,Exotic,,
Arthropodium cirratum,Herb,,17,,6,,26,2,51,4,Exotic,,
Arthropodium cirratum Matapouri Bay,Herb,,18,,3,,35,4,60,4,Exotic,,
Aspidistra elatior,Herb,,21,4,25,,10,2,62,5,Exotic,,
Asplenium australasicum,Fern,1,59,1,41,,21,5,128,6,Native,,
Asplenium bulbiferum,Fern,,13,,1,,10,2,26,4,Native,,
Asplenium nidus,Fern,,17,,50,,25,3,95,4,Native,,
Austromyrtus dulcis,Shrub,,19,1,58,,4,1,83,5,Native,,
Austromyrtus inophloia Blushing Beauty,Shrub,,5,,21,,4,2,32,4,Native,,
Austromyrtus spp. Copper Tops,Shrub,,11,,41,,3,1,56,4,Native,,
Azalea indica,Shrub,1,22,2,13,,27,,65,5,Exotic,,
Azalea indica Alba Magnifica,Shrub,,8,,9,,27,,44,3,Exotic,,
Azalea indica Alphonse Anderson,Shrub,2,19,,12,,7,,40,4,Exotic,,
Azalea indica Exquisite,Shrub,,19,,16,,,,35,2,Exotic,,
Azalea indica Magnifica,Shrub,2,24,,12,,12,,50,4,Exotic,,
Azalea indica Red Wings,Shrub,1,28,,16,,8,2,55,5,Exotic,,
Azalea indica Shiraz,Shrub,1,16,1,35,,12,,65,5,Exotic,,
Azalea spp. Goyet,Shrub,,4,2,15,,3,1,25,5,Exotic,,
Babingtonia tozerensis,Shrub,,4,,23,,,,27,2,Native,,
Babingtonia virgata,Shrub,4,24,,23,,2,,53,4,Native,,
Babingtonia virgata Dwarf Form,Shrub,4,33,2,25,,7,1,72,6,Native,,
Babingtonia virgata La Petite,Shrub,,4,,29,,,,33,2,Native,,
Babingtonia virgata Minima,Shrub,,5,,20,,,1,26,3,Native,,
Backhousia citriodora,Shrub,,66,,99,,15,1,181,4,Native,,
Backhousia myrtifolia,Shrub,,32,,53,,4,,89,3,Native,,
Baloskion tetraphyllum ,Grass,,12,,19,,16,,47,3,Native,,
Banksia aemula,Shrub,,10,,32,,2,,44,3,Native,,
Banksia ericifolia,Shrub,6,47,,36,,19,1,109,5,Native,,
Banksia integrifolia,Shrub,5,91,1,117,4,99,3,320,7,Native,,
Banksia integrifolia Roller Coaster,Shrub,2,11,,8,,16,2,39,5,Native,,
Banksia integrifolia Sentinel,Shrub,,2,,3,,21,1,27,4,Native,,
Banksia marginata,Shrub,9,14,,,3,78,,104,4,Native,,
Banksia oblongifolia,Shrub,,16,,31,,,,47,2,Native,,
Banksia robur,Shrub,,29,,76,,7,,112,3,Native,,
Banksia serrata,Shrub,1,69,,30,,26,,126,4,Native,,
Banksia spinulosa,Shrub,7,43,,51,,23,1,125,5,Native,,
Banksia spinulosa Birthday Candles,Shrub,,10,,4,,22,2,38,4,Native,,
Banksia spinulosa Honey Pots,Shrub,1,7,,3,,13,1,25,5,Native,,
Banksia spp. Giant Candles,Shrub,5,16,,9,,17,,47,4,Native,,
Baumea rubiginosa,Grass,2,8,,24,,4,1,39,5,Native,,
Beaucarnea recurvata,Tree,,58,6,121,,53,11,249,5,Exotic,,
Betula nigra,Tree,,14,,34,,7,,55,3,Exotic,,
Betula pendula,Tree,3,24,,1,2,57,9,96,6,Exotic,>200k,
Betula pendula Alba,Tree,,18,,1,,60,,79,3,Exotic,,
Betula pendula Dalecarlica,Tree,,7,,,,42,,49,2,Exotic,,
Betula pendula Fastigiata,Tree,,2,,,,41,,43,2,Exotic,,
Betula pendula Moss White,Tree,,7,,,,48,,55,2,Exotic,,
Betula pendula Youngii,Tree,,6,,,3,38,2,49,4,Exotic,,
Betula utilis Jacquemontii,Tree,3,9,,,,28,,40,3,Exotic,,
Bismarckia nobilis,Palm,,13,8,103,,7,,131,4,Exotic,,
Blechnum brasiliense Silver Lady,Fern,2,40,5,55,,25,12,139,6,Exotic,,
Bougainvillea spp. Assorted,Climber,,17,4,13,,10,3,47,5,Exotic,,
Bougainvillea spp.Temple Fire,Climber,,4,2,23,2,2,1,34,6,Exotic,,
Bougainvillea,Climber,,,,,,,,,,Exotic,,
Brachychiton acerifolius,Tree,,71,3,145,3,64,8,294,6,Native,,
Brachychiton bidwillii,Tree,,9,,34,,1,,44,3,Native,,
Brachychiton discolor,Tree,,10,1,35,,21,,67,4,Native,,
Brachychiton populneus,Tree,2,41,,47,,73,3,166,5,Native,,
Brachychiton rupestris,Tree,,49,5,143,5,90,,292,5,Native,,
Brachychiton spp. Bella Donna,Tree,,6,,3,,25,3,37,4,Native,,
Brachychiton spp. Bella Pink,Tree,,6,,,4,41,2,53,4,Native,,
Brachychiton spp. Griffith Pink,Tree,,3,,,,23,2,28,3,Native,,
Brachychiton spp. Jerilderie Red,Tree,,7,,,,28,3,38,3,Native,,
Brachyscome multifida,Herb,3,26,,27,,25,1,82,5,Native,,
Brachyscome multifida Break O Day,Herb,1,14,,5,,20,1,41,5,Native,,
Brachyscome spp. Mauve Delight,Herb,,9,1,3,,18,2,33,5,Native,,
Brunfelsia latifolia,Shrub,,17,3,60,1,5,2,88,6,Exotic,,
Brunfelsia latifolia Compact Form,Shrub,,8,,19,2,,,29,3,Exotic,,
Buckinghamia celsissima,Tree,,63,1,156,,4,,224,4,Native ,,
Bursaria spinosa,Shrub,6,12,,13,,15,,46,4,Native,,
Butia capitata,Palm,,5,1,14,,20,,40,4,Exotic,,
Buxus microphylla,Shrub,1,59,,17,,21,12,110,5,Exotic,,
Buxus microphylla Faulkner,Shrub,,57,,13,2,23,6,101,5,Exotic,,
Buxus microphylla Japonica,Shrub,2,144,,47,2,42,5,242,6,Exotic,,
Buxus microphylla Koreana,Shrub,,16,,1,1,16,1,35,5,Exotic,,
Buxus microphylla Microphylla,Shrub,2,41,,6,,16,2,67,5,Exotic,,
Buxus sempervirens,Shrub,3,57,,7,2,107,4,180,6,Exotic,,
Buxus sempervirens Suffruiticosa,Shrub,3,5,,,,57,,65,3,Exotic,,
Caesalpinia ferrea,Tree,,29,4,102,,,5,140,4,Exotic,,
Calathea zebrina,Shrub,,8,2,17,,5,1,33,5,Exotic,,
Callistemon citrinus Endeavour,Shrub,7,52,1,56,2,34,8,160,7,Native,,
Callistemon citrinus White Anzac,Shrub,5,38,,45,,25,7,120,5,Native,,
Callistemon pallidus,Shrub,6,12,,3,,13,,34,4,Native,,
Callistemon pearsonii Rocky Rambler,Shrub,,5,,19,,6,,30,3,Native,,
Callistemon salignus,Shrub,1,39,,44,2,47,3,136,6,Native,,
Callistemon salignus Great Balls of Fire,Shrub,,36,,51,,25,,112,3,Native,,
Callistemon spp. All Aglow,Shrub,,10,,8,,9,,27,3,Native,,
Callistemon spp. Candy Pink,Shrub,,21,3,34,,23,2,83,5,Native,,
Callistemon spp. Cherry Time,Shrub,2,4,,11,,10,1,28,5,Native,,
Callistemon spp. Eureka,Shrub,,9,,47,,9,,65,3,Native,,
Callistemon spp. Firebrand,Shrub,,8,,14,,3,,25,3,Native,,
Callistemon spp. Hannah Ray,Shrub,,39,1,44,,37,,121,4,Native,,
Callistemon spp. Harkness,Shrub,,11,,7,2,46,1,67,5,Native,,
Callistemon spp. Hinchinbrook,Shrub,,3,,21,,1,1,26,4,Native,,
Callistemon spp. Hot Pink ,Shrub,,7,,8,,8,2,25,4,Native,,
Callistemon spp. Kings Park Special,Shrub,7,56,1,61,5,119,25,274,7,Native,,
Callistemon spp. Little John,Shrub,6,48,,87,1,42,12,196,6,Native,,
Callistemon spp. Mary Mackillop,Shrub,2,9,,12,,22,4,49,5,Native,,
Callistemon spp. Mauve Mist,Shrub,1,14,,12,,12,,39,4,Native,,
Callistemon spp. Purple Splendour,Shrub,,17,,34,,4,1,56,4,Native,,
Callistemon spp. Tangerine Dream,Shrub,1,4,1,23,,,,29,4,Native,,
Callistemon spp. Taree Pink,Shrub,,23,,20,,6,1,50,4,Native,,
Callistemon spp. Western Glory,Shrub,,9,,3,,23,2,37,4,Native,,
Callistemon viminalis,Shrub,3,17,2,62,,38,1,123,6,Native,,
Callistemon viminalis Better John,Shrub,2,10,,13,,18,1,44,5,Native,,
Callistemon viminalis Captain Cook,Shrub,2,48,3,82,1,41,6,183,7,Native,,
Callistemon viminalis Dawson River Weeper,Shrub,1,41,5,85,,54,11,197,6,Native,,
Callistemon viminalis Green John,Shrub,,6,,11,,8,1,26,4,Native,,
Callistemon viminalis Little Caroline,Shrub,2,5,,14,,6,,27,4,Native,,
Callistemon viminalis Little Silver ,Shrub,,8,,14,,7,,29,3,Native,,
Callistemon viminalis Macarthur,Shrub,1,10,,15,,10,2,38,5,Native,,
Callistemon viminalis Pink Champagne,Shrub,1,16,,52,,15,3,87,5,Native,,
Callistemon viminalis Prolific,Shrub,,2,,11,,11,2,26,4,Native,,
Callistemon viminalis Red Alert,Shrub,,13,,11,,18,1,43,4,Native,,
Callistemon viminalis Rose Opal,Shrub,,4,4,33,,2,,43,4,Native,,
Callistemon viminalis Slim,Shrub,1,17,,23,,25,2,68,5,Native,,
Callistemon viminalis Wilderness White,Shrub,,19,,67,,6,2,94,4,Native,,
Callistemon viminalis Wildfire,Shrub,,24,,94,,15,1,134,4,Native,,
Callitris columellaris,Tree,,6,,19,,1,,26,3,Native,,
Calodendrum capense ,Tree,,23,,6,,10,,39,3,Exotic ,,
Camellia japonica,Shrub,,19,,20,,21,1,61,4,Exotic,,
Camellia sasanqua,Shrub,,54,,0,,32,1,87,4,Exotic,,
Camellia sasanqua Beatrice Emily,Shrub,2,11,,11,,4,,28,4,Exotic,,
Camellia sasanqua Early Pearly,Shrub,3,6,,5,,12,,26,4,Exotic,,
Camellia sasanqua Edna Butler,Shrub,2,20,,2,,4,2,30,5,Exotic,,
Camellia sasanqua Hiryu,Shrub,4,51,,15,,40,3,113,5,Exotic,,
Camellia sasanqua Jennifer Susan,Shrub,2,62,,21,,28,1,114,5,Exotic,,
Camellia sasanqua Marge Miller,Shrub,1,12,,5,,18,1,37,5,Exotic,,
Camellia sasanqua Paradise Blush,Shrub,,14,,4,,31,2,51,4,Exotic,,
Camellia sasanqua Plantation Pink,Shrub,2,43,,11,,19,1,76,5,Exotic,,
Camellia sasanqua Pure Silk,Shrub,3,63,,20,,12,1,99,5,Exotic,,
Camellia sasanqua Setsugekka,Shrub,4,38,,24,,40,2,108,5,Exotic,,
Camellia sasanqua spp. Rose Ann,Shrub,,7,,13,,7,,27,3,Exotic,,
Camellia sasanqua Star Above Star,Shrub,2,16,,11,,7,,36,4,Exotic,,
Camellia sasanqua Yuletide,Shrub,2,24,,12,,23,,61,4,Exotic,,
Camellia spp. Assorted,Shrub,,9,,7,,15,,31,3,Exotic,,
Carex appressa,Grass,4,31,2,52,,26,1,116,6,Native,,
Carex comans Frosted Curls,Grass,,7,,,,23,,30,2,Exotic,,
Carex fascicularis,Grass,2,8,,8,,6,1,25,5,Native,,
Carex testacea,Grass,,3,,,,26,1,30,3,Exotic,,
Carissa macrocarpa Desert Star,Palm,,14,2,47,1,,3,67,5,Exotic,,
Carpentaria acuminata,Palm,,10,3,57,,,,70,3,Native,,
Carpinus betulus Fastigiata,Tree,,3,,,,50,,53,2,Exotic,,
Carpobrotus glaucescens,Herb,2,25,,45,,1,1,74,5,Native ,,
Carpobrotus rossii,Herb,,3,,,,24,,27,2,Native ,,
Castanospermum australe,Tree,,13,3,36,1,7,,60,5,Native,,
