Species,Plant type,ACT,NSW,NT,QLD,SA,VIC,WA,Number of growers,Number of States,Origin,Count,Synonym
Casuarina cunninghamiana,Tree,15,36,1,46,,39,4,141,6,Native,,
Casuarina equisetifolia,Tree,,2,3,35,,,7,47,4,Native,,
Casuarina glauca,Tree,,26,,54,,8,,88,3,Native,,
Casuarina glauca Cousin It,Tree,2,27,3,64,,21,4,121,6,Native,,
Ceanothus thyrsiflorus Blue Pacific,Shrub,,7,,,,16,4,27,3,Exotic,,
Cedrus deodara,Tree,4,25,,1,,43,,73,4,Exotic,,
Celtis australis,Tree,,4,,,6,27,,37,3,Exotic,,
Cerastium tomentosum,Herb,3,13,,,1,13,2,32,5,Exotic,,
Ceratopetalum gummiferum,Shrub,,29,,4,,8,,41,3,Native,,
Ceratopetalum gummiferum Alberys Red,Shrub,,33,,29,,2,1,65,4,Native,,
Cercis canadensis,Tree,3,12,,,3,16,1,35,5,Exotic,,
Cercis canadensis Forest Pansy,Tree,5,40,,1,,85,1,132,5,Exotic,,
Cercis chinensis Avondale,Tree,1,5,,,,19,,25,3,Exotic,,
Cercis siliquastrum,Tree,,5,,,3,22,1,31,4,Exotic,,
Chamaedorea atrovirens,Palm,,21,3,72,,22,,118,4,Exotic,,
Chamaedorea cataractarum,Palm,,5,2,28,,3,,38,4,Exotic,,
Chamaedorea elegans,Palm,,21,4,36,,26,5,92,5,Exotic,,
Chamaedorea seifrizii,Palm,,24,6,53,,20,4,107,5,Exotic,,
Chamaerops humilis,Palm,,5,,15,,20,,40,3,Exotic,,
Chlorophytum comosum,Herb,,4,,18,1,6,2,31,5,Exotic,,
Choisya ternata,Shrub,4,10,,,,44,4,62,4,Exotic,,
Chrysocephalum apiculatum ,Herb,2,21,2,20,,25,,70,5,Native,,
Cissus antarctica,Climber,,19,,29,,2,,50,3,Native,,
Clivia miniata,Herb,2,51,,43,,33,3,132,5,Exotic,,
Clivia miniata Yellow,Herb,,17,,19,,30,8,74,4,Exotic,,
Clivia spp. Belgian Hybrid,Herb,,40,,32,,29,,101,3,Exotic,,
Cocos nucifera,Palm,,1,2,38,,,,41,3,Exotic,,
Cocos plumosa,Palm,,20,4,36,,48,4,112,5,Exotic,,Synonym
Codiaeum variegatum,Herb,,7,6,51,1,11,3,79,6,Native,,
Codiaeum variegatum Mammy,Herb,,8,3,46,,3,,60,4,Native,,
Codiaeum variegatum Petra,Herb,,6,3,38,,5,,52,4,Native,,
Coleonema album,Shrub,,5,,,,20,6,31,3,Exotic,,
Coleonema pulchellum Aurea ,Shrub,1,13,,1,1,42,10,68,6,Exotic,,
Coleonema pulchellum Compactum ,Shrub,,15,,1,1,31,6,54,5,Exotic,,
Convolvulus cneorum,Herb,5,36,,14,2,49,12,118,6,Exotic,,
Convolvulus mauritanicus,Herb,2,26,,2,1,17,1,49,6,Exotic,,
Coprosma repens Evening Glow,Shrub,,6,,,,18,7,31,3,Exotic,,
Coprosma spp. Karo Red,Shrub,,10,,,,23,7,40,3,Exotic,,
Cordyline australis,Tree,,37,,50,,24,7,118,4,Exotic,,
Cordyline australis Black Knight,Tree,,12,,19,,5,3,39,4,Exotic,,
Cordyline australis Cabernett,Tree,2,7,,3,,19,1,32,5,Exotic,,
Cordyline australis Peko,Tree,,11,,8,,5,2,26,4,Exotic,,
Cordyline australis Purpurea,Tree,,5,,20,,4,,29,3,Exotic,,
Cordyline australis Red Sensation,Tree,,55,,100,,30,13,198,4,Exotic,,
Cordyline australis Red Star,Tree,,23,,17,1,51,4,96,5,Exotic,,
Cordyline australis Sundance,Tree,,13,,12,,23,4,52,4,Exotic,,
Cordyline australis Torbay Dazzler,Tree,,17,,10,,16,3,46,4,Exotic,,
Cordyline banksii Electric Flash ,Tree,,11,,3,,15,,29,3,Exotic,,
Cordyline banksii Electric Pink,Tree,,21,,7,,20,6,54,4,Exotic,,
Cordyline banksii Electric Star,Tree,,11,2,4,,16,1,34,5,Exotic,,
Cordyline fruticosa,Herb,,8,2,32,,4,,46,4,Native,,
Cordyline fruticosa Apple Blossom,Herb,,7,,20,,5,,32,3,Native,,
Cordyline fruticosa Early Morning Diamond,Herb,,4,,23,,5,,32,3,Native,,
Cordyline fruticosa Fire Fountain ,Herb,,5,,38,,,,43,2,Native,,
Cordyline fruticosa Hilo Rainbow,Herb,,2,,25,,1,,28,3,Native,,
Cordyline fruticosa John Klass Red,Herb,,2,3,24,,3,,32,4,Native,,
Cordyline fruticosa Kilauea,Herb,,6,,20,,3,,29,3,Native,,
Cordyline fruticosa Kiwi,Herb,,11,,42,,2,,55,3,Native,,
Cordyline fruticosa Kiwi Pride,Herb,,3,,20,,9,,32,3,Native,,
Cordyline fruticosa Miss Andrea,Herb,,4,,29,,4,1,38,4,Native,,
Cordyline fruticosa Negra,Herb,,27,,113,,13,,153,3,Native,,
Cordyline fruticosa Pink Diamond,Herb,,26,1,72,,13,2,114,5,Native,,
Cordyline fruticosa Rubra,Herb,,42,2,99,,11,3,157,5,Native,,
Cordyline fruticosa Ruby,Herb,,10,3,17,,7,,37,4,Native,,
Cordyline fruticosa Tartan,Herb,,4,1,19,,2,,26,4,Native,,
Cordyline fruticosa Willys Gold,Herb,,4,2,19,,,,25,3,Native,,
Cordyline petiolaris,Shrub,,15,,51,,,,66,2,Native,,
Cordyline rubra,Shrub,,41,,83,,25,1,150,4,Native,,
Cordyline stricta,Shrub,,36,,52,,8,,96,3,Native,,
Correa alba,Shrub,4,27,,,1,50,1,83,5,Native,,
Correa baeuerlenii,Shrub,2,3,,,,22,,27,3,Native,,
Correa decumbens,Shrub,4,4,,,,25,1,34,4,Native,,
Correa glabra,Shrub,4,6,,,,27,2,39,4,Native,,
Correa reflexa,Shrub,2,6,,,,27,,35,3,Native,,
Correa spp. Dusky Bells,Shrub,4,14,,1,1,42,6,68,6,Native,,
Corymbia citriodora,Tree,,48,,45,4,106,8,211,5,Native,,
Corymbia citriodora Scentuous,Tree,,4,,1,,25,,30,3,Native,,
Corymbia eximia,Tree,,6,,,,21,2,29,3,Native,,
Corymbia eximia Nana,Tree,,,,,,41,,41,1,Native,,
Corymbia ficifolia,Tree,,10,,5,3,67,9,94,5,Native,,
Corymbia ficifolia Baby Orange,Tree,,9,,3,,22,,34,3,Native,,
Corymbia ficifolia Wildfire,Tree,,15,,2,2,31,,50,4,Native,,
Corymbia gummifera,Tree,,20,,6,,1,,27,3,Native,,
Corymbia intermedia,Tree,,7,,30,,,,37,2,Native,,
Corymbia maculata,Tree,,65,,26,4,119,10,224,5,Native,,
Corymbia ptychocarpa,Tree,,8,4,32,,,3,47,4,Native,,
Corymbia spp. Summer Red,Tree,,15,,21,,10,,46,3,Native,,
Corymbia tessellaris,Tree,,4,,47,,,,51,2,Native,,
Cotinus coggygria Grace,Shrub,,4,,,,22,,26,2,Exotic,,
Crassula arborescens Bluebird,Herb,,20,,,3,11,,34,3,Exotic,,
Crassula ovata,Herb,,38,,,53,13,2,106,4,Exotic,,
Crassula ovata Gollum,Herb,,18,,,17,7,,42,3,Exotic,,
Crinum pedunculatum,Herb,,48,3,74,,6,7,138,5,Native,,
Ctenanthe setosa Grey Star,Herb,,20,,28,,8,,56,3,Exotic,,
Cupaniopsis anacardioides,Tree,,162,4,235,6,14,2,423,6,Native,,
Cuphea hyssopifolia Mauve,Herb,,6,,23,,,,29,2,Exotic,,
Cuphea hyssopifolia White,Herb,,8,2,15,,18,1,44,5,Exotic,,
Cupressocyparis leylandii Castlewellan Gold,Tree,,28,2,6,,53,3,92,5,Exotic,,
Cupressocyparis leylandii Leighton Green,Tree,3,111,,14,1,72,3,204,6,Exotic,,
Cupressocyparis leylandii Naylors Blue,Tree,,17,,6,,4,4,31,4,Exotic,,
Cupressus arizonica Glabra Blue Ice,Tree,,13,,,,17,3,33,3,Exotic,,
Cupressus sempervirens Glauca,Tree,1,51,,16,5,93,11,177,6,Exotic,,
Cupressus sempervirens Nitschkes Needles,Tree,,34,,43,,14,5,96,4,Exotic,,
Cupressus sempervirens Stricta,Tree,2,20,,19,,18,8,67,5,Exotic,,
Cupressus sempervirens Swanes Gold,Tree,,11,,,3,51,2,67,4,Exotic,,
Cyathea australis,Fern,,18,,8,,16,,42,3,Native,,
Cyathea brownii,Fern,,10,,2,,14,,26,3,Native,,
Cyathea cooperi,Fern,,79,4,111,,24,15,233,5,Native,,
Cycas revoluta,Cycad,,117,9,162,,89,11,388,5,Exotic,,
Cycas thouarsii,Cycad,,9,4,35,,18,2,68,5,Exotic,,
Cyclamen spp. Assorted,Herb,,5,,1,,21,,27,3,Exotic,,
Cymbopogon citratus,Grass,,8,4,9,,6,,27,4,Exotic,,
Cymbopogon refractus,Grass,2,4,,27,,,,33,3,Native,,
Cyrtostachys renda,Palm,,,9,18,,,,27,2,Exotic,,
Dampiera diversifolia,Herb,,7,,13,1,11,4,36,5,Native,,
Daphne odora,Shrub,2,10,,,,18,,30,3,Exotic,,
Davidsonia pruriens,Tree,,11,,13,,2,,26,3,Native,,
Delonix regia,Tree,,11,8,139,,1,4,163,5,Exotic,,
Dianella brevipedunculata,Herb,,9,,50,,12,,71,3,Native,,
Dianella caerulea,Herb,3,41,,79,,28,1,152,5,Native,,
Dianella caerulea  Little Jess,Herb,,23,,24,,13,2,62,4,Native,,
Dianella caerulea Breeze,Herb,1,16,,10,,15,2,44,5,Native,,
Dianella caerulea Cassa Blue,Herb,,13,,8,,16,4,41,4,Native,,
Dianella caerulea Lucia,Herb,,12,,9,,5,,26,3,Native,,
Dianella caerulea Tiny Titan,Herb,,4,,20,,5,1,30,4,Native,,
Dianella congesta,Herb,,7,,25,,,,32,2,Native,,
Dianella longifolia,Herb,3,21,,20,,30,,74,4,Native,,
Dianella revoluta,Herb,5,24,,18,,32,8,87,5,Native,,
Dianella revoluta Little Rev,Herb,,9,,3,,13,3,28,4,Native,,
Dianella revoluta Seaspray,Herb,1,2,,2,,16,6,27,5,Native,,
Dianella spp. Streetscape ,Herb,,10,,4,,9,6,29,4,Native,,
Dianella tasmanica,Herb,4,15,,3,,32,1,55,5,Native,,
Dianella tasmanica Silver Streak,Herb,,21,,45,,31,6,103,4,Native,,
Dianella tasmanica Tas Red,Herb,,11,,7,,16,3,37,4,Native,,
Dichondra argentea Silver Falls,Climber,,37,1,19,,23,4,84,5,Exotic,,
Dichondra repens,Herb,,26,,15,,23,7,71,4,Native,,
Dichorisandra thyrsiflora,Herb,,8,2,16,,3,2,31,5,Exotic,,
Dicksonia antarctica,Fern,2,33,,3,,40,,78,4,Native,,
Dietes bicolor,Herb,5,40,2,83,2,32,7,171,7,Exotic,,
Dietes grandiflora,Herb,5,29,1,82,2,48,6,173,7,Exotic,,
Dietes iridioides,Herb,2,35,1,29,1,27,5,100,7,Exotic,,
Dioon spinulosum,Cycad,,4,4,19,,,,27,3,Exotic,,
Mandevilla sanderi (Dipladenia) Rosea Red Riding Hood,Climber,,10,,30,1,4,3,48,5,Exotic,,
Diploglottis campbelli Cheel,Tree,,9,,42,,2,,53,3,Native,,
Dodonaea triquetra,Shrub,,24,,20,,,,44,2,Native,,
Dodonaea viscosa,Shrub,5,17,,15,,20,,57,4,Native,,
Dodonaea viscosa Purpurea,Shrub,2,39,,12,,62,6,121,5,Native,,
Doodia aspera,Fern,,15,,17,,3,,35,3,Native,,
Doryanthes excelsa,Shrub,,111,,83,,48,,242,3,Native,,
Doryanthes palmeri,Shrub,,60,,68,,28,,156,3,Native,,
Dracaena deremensis,Shrub,,19,,18,,8,2,47,4,Exotic,,
Dracaena deremensis Janet Craig,Shrub,,16,1,17,,5,1,40,5,Exotic,,
Dracaena deremensis Massangeana,Shrub,,18,8,24,,23,2,75,5,Exotic,,
Dracaena draco,Tree,,100,,123,,63,16,302,4,Exotic,,
Dracaena marginata,Shrub,,46,10,131,,39,4,230,5,Exotic,,
Dracaena marginata Lam.,Shrub,,,,,,,,,,Exotic,,
Dracaena marginata Black Knight,Shrub,,18,8,72,,14,4,116,5,Exotic,,
Dracaena marginata Colorama,Shrub,,18,10,73,,9,3,113,5,Exotic,,
Dracaena marginata Tricolour,Shrub,,15,2,61,,16,2,96,5,Exotic,,
Dracaena reflexa,Shrub,,1,,31,,8,,40,3,Exotic,,
Dracaena reflexa Song of India,Shrub,,1,4,38,,2,,45,4,Exotic,,
Dypsis cabadae,Palm,,,1,27,,,,28,2,Exotic,,
Dypsis decaryi,Palm,,12,6,56,,5,5,84,5,Exotic,,
Dypsis lastelliana,Palm,,,,28,,3,,31,2,Exotic,,
Dypsis leptocheilos,Palm,,2,5,50,,2,,59,4,Exotic,,
Dypsis lutescens,Palm,,70,10,217,,28,24,349,5,Exotic,,
Echeveria spp. Black Prince,Herb,,9,3,,4,11,1,28,5,Exotic,,
Elaeocarpus eumundi,Tree,,121,3,174,,8,,306,4,Native,,
Elaeocarpus grandis,Tree,,8,,45,,1,,54,3,Native,,
Elaeocarpus obovatus,Tree,,6,,60,,,,66,2,Native,,
Elaeocarpus reticulatus,Tree,,106,,108,,37,,251,3,Native,,
Elaeocarpus reticulatus Pink Form,Tree,,18,,7,,4,,29,3,Native,,
Elaeocarpus reticulatus Prima Donna,Tree,,29,,61,,18,,108,3,Native,,
Epipremnum aureum,Herb,,25,3,15,1,18,1,63,6,Exotic,,
Eremophila glabra Kalbarri Carpet,Shrub,1,4,3,2,1,20,12,43,7,Native,,
Erigeron karvinskianus,Herb,1,16,1,36,1,26,,81,6,Exotic,,
Eriostemon myoporoides  ,Shrub,2,29,,3,,34,2,70,3,Native,,
Eriostemon myoporoides Winter Rouge  ,Shrub,1,14,,4,,17,2,38,5,Native,,
Escallonia macrantha Pink Pixie,Shrub,2,36,,6,2,32,7,85,6,Exotic,,
Escallonia spp. iveyi,Shrub,1,32,,2,1,35,4,75,6,Exotic,,
Escallonia spp. Red Knight,Shrub,1,11,,,,14,3,29,4,Exotic,,
Eucalyptus blakelyi,Tree,8,12,,,,5,,25,3,Native,,
Eucalyptus caesia,Tree,,2,,,2,22,4,30,4,Native,,
Eucalyptus caesia Silver Princess,Tree,,4,,,,54,4,62,3,Native,,
Eucalyptus camaldulensis,Tree,,4,,10,4,63,2,83,5,Native,,
Eucalyptus cinerea,Tree,8,8,,1,,20,2,39,5,Native,,
Eucalyptus cladocalyx Nana,Tree,,4,,5,2,24,6,41,5,Native,,
Eucalyptus crebra,Tree,,26,,22,,,,48,2,Native,,
Eucalyptus curtisii,Tree,,5,,23,,,,28,2,Native,,
Eucalyptus erythrocorys,Tree,,1,,,2,15,12,30,4,Native,,
Eucalyptus eximia Nana,Tree,,4,,,,23,1,28,3,Native,,
Eucalyptus forrestiana,Tree,,1,,,,23,5,29,3,Native,,
Eucalyptus grandis,Tree,,9,,18,,1,3,31,4,Native,,
Eucalyptus gregsoniana,Tree,2,1,,,,34,,37,3,Native,,
Eucalyptus haemastoma,Tree,,29,,1,,1,,31,3,Native,,
Eucalyptus leucoxylon,Tree,1,2,,,4,21,1,29,5,Native,,
Eucalyptus leucoxylon Connata,Tree,,,,,,43,,43,1,Native,,
Eucalyptus leucoxylon Euky Dwarf,Tree,2,3,,2,2,62,1,72,6,Native,,
Eucalyptus leucoxylon Megalocarpa,Tree,,4,,,3,52,7,66,4,Native,,
Eucalyptus leucoxylon Rosea,Tree,2,10,,1,4,61,10,88,6,Native,,
Eucalyptus macrandra,Tree,,7,,,,22,5,34,3,Native,,
Eucalyptus mannifera,Tree,15,15,,,,54,,84,3,Native,,
Eucalyptus mannifera Little Spotty,Tree,5,7,,,,40,,52,3,Native,,
Eucalyptus mannifera Maculosa,Tree,1,,,,,25,,26,2,Native,,
Eucalyptus melliodora,Tree,10,19,,1,,83,,113,4,Native,,
Eucalyptus microcorys,Tree,,39,,37,,1,,77,3,Native,,
Eucalyptus moluccana,Tree,,29,,13,,,,42,2,Native,,
Eucalyptus nicholii,Tree,,5,,2,,24,6,37,4,Native,,
Eucalyptus olivacea Summer Scentsation,Tree,,2,,2,,21,1,26,4,Native,,Eucalyptus macrandra
Eucalyptus ovata,Tree,,4,,,,54,,58,2,Native,,
Eucalyptus pauciflora,Tree,11,11,,,,72,,94,3,Native,,
Eucalyptus pauciflora Little Snowman,Tree,2,3,,,,36,,41,3,Native,,
Eucalyptus pilularis,Tree,,27,,12,,,,39,2,Native,,
Eucalyptus polyanthemos,Tree,11,16,,2,,84,1,114,5,Native,,
Eucalyptus propinqua,Tree,,8,,32,,,,40,2,Native,,
Eucalyptus punctata,Tree,,32,,2,,,,34,2,Native,,
Eucalyptus racemosa,Tree,,4,,22,,,,26,2,Native,,
Eucalyptus radiata,Tree,,5,,,,44,,49,2,Native,,
Eucalyptus robusta,Tree,,34,,25,,3,2,64,4,Native,,
Eucalyptus saligna,Tree,2,33,,3,,3,2,43,5,Native,,
Eucalyptus scoparia,Tree,4,15,,,,87,2,108,4,Native,,
Eucalyptus siderophloia,Tree,,6,,25,,,,31,2,Native,,
Eucalyptus sideroxylon,Tree,5,17,,,,18,2,42,4,Native,,
Eucalyptus sideroxylon Rosea,Tree,6,18,,,3,83,4,114,5,Native,,
Eucalyptus tereticornis,Tree,2,47,,54,,8,,111,4,Native,,
Eucalyptus torquata,Tree,,5,,1,2,30,9,47,5,Native,,
Eucalyptus viminalis,Tree,7,7,,,,40,,54,3,Native,,
Euonymus japonicus Green Rocket,Shrub,1,1,,,1,32,,35,4,Exotic,,
Euonymus japonicus Microphyllus Tom Thumb,Shrub,1,20,,3,2,36,8,70,6,Exotic,,
Euphorbia characias wulfenii,Herb,,7,,,,18,,25,2,Exotic,,
Evolvulus pilosus,Herb,,12,1,36,,,,49,3,Exotic,,Evolvulus pilosus Nutt.
Fagus sylvatica,Tree,1,8,,,,31,,40,3,Exotic,>200k GBIF records,
Fatsia japonica,Shrub,,10,1,4,,13,2,30,5,Exotic,,
Felicia amelloides,Herb,,7,,1,,27,1,36,4,Exotic,,
Festuca glauca,Grass,5,29,,18,1,27,4,84,6,Exotic,,
Ficus benjamina Emerald Green,Tree,,16,,9,,30,,55,3,Native,,
Ficus benjamina Exotica,Tree,,10,1,14,,11,5,41,5,Native,,
Ficus benjamina Midnight Beauty,Tree,,6,4,21,,10,6,47,5,Native,,
Ficus elastica Burgundy,Tree,,20,1,17,1,17,1,57,6,Exotic,,
Ficus lyrata,Tree,,43,5,68,2,29,1,148,6,Exotic,,
Ficus lyrata Bambino,Tree,,12,,22,,2,,36,3,Exotic,,
Ficus macrophylla,Tree,,44,5,80,,31,,160,4,Native,,
Ficus microcarpa Emerald,Tree,,24,,21,,40,,85,3,Native,,
Ficus microcarpa Flash,Tree,,61,6,46,,94,1,208,5,Native,,
Ficus microcarpa Green Island,Tree,,,,33,,,,33,1,Native,,
Ficus microcarpa Hillii,Tree,,88,1,114,3,99,5,310,6,Native,,
Ficus obliqua,Tree,,11,,52,,7,,70,3,Native ,,
Ficus platypoda,Tree,,4,,16,,10,,30,3,Native,,
Ficus pumila,Climber,1,24,1,21,,30,2,79,6,Exotic,,
Ficus rubiginosa,Tree,,50,1,35,,14,1,101,5,Native,,
Flindersia australis,Tree,,44,1,113,,6,,164,4,Native,,
Flindersia brayleyana,Tree,,6,,26,,,,32,2,Native,,
Flindersia schottiana,Tree,,17,,61,,,,78,2,Native,,
Fraxinus angustifolia,Tree,7,90,,3,7,59,10,176,6,Exotic,,
Fraxinus excelsior Aurea,Tree,2,41,,2,,50,2,97,5,Exotic,>200k GBIF records,
Fraxinus griffithii,Tree,,82,2,18,4,36,11,153,6,Exotic,,
Fraxinus pennsylvanica Cimmzam Cimmaron,Tree,2,13,,,7,50,,72,4,Exotic,,
Fraxinus pennsylvanica Urbanite,Tree,2,18,,,,40,,60,3,Exotic,,
Fraxinus velutina,Tree,6,13,,,,7,,26,3,Exotic,,
Fuchsia spp. Assorted,Herb,3,13,,1,,14,3,34,5,Exotic,,
Fuchsia,,,,,,,,,,,Exotic,,
Furcraea bedinghausii,Herb,,,,,,30,,30,1,Exotic,,
Furcraea foetida,Herb,,19,3,,52,7,3,84,5,Exotic,,
Furcraea foetida Mediopicta,Herb,,8,2,,9,4,2,25,5,Exotic,,
Furcraea foetida Variegated,Herb,,13,,,61,3,3,80,4,Exotic,,
Gahnia sieberiana,Grass,,16,,30,,5,,51,3,Native,,
Gardenia augusta Aimee Yoshiba,Shrub,,17,1,24,,15,3,60,5,Exotic,,
Gardenia augusta Florida,Shrub,2,151,2,142,,50,21,368,6,Exotic,,
Gardenia augusta Four Seasons,Shrub,,14,,15,,5,2,36,4,Exotic,,
Gardenia augusta Golden Magic,Shrub,,26,2,30,,14,11,83,5,Exotic,,
Gardenia augusta Magnifica,Shrub,2,106,1,94,,29,6,238,6,Exotic,,
Gardenia augusta Professor Pucci,Shrub,,43,1,43,1,21,16,125,6,Exotic,,
Gardenia augusta Radicans,Shrub,1,76,4,110,,23,7,221,6,Exotic,,
Gardenia spp. Forever More,Shrub,,8,,16,,4,1,29,4,Exotic,,
Gardenia spp. Grandiflora Star,Shrub,,18,3,43,,8,10,82,5,Exotic,,
Gardenia spp. Ocean Pearl,Shrub,,14,2,26,,5,4,51,5,Exotic,,
Gardenia spp. True Love ,Shrub,,4,4,21,,,3,32,4,Exotic,,
Gardenia,Shrub,,,,,,,,,,Exotic,,
Gaura lindheimeri Belleza Dark Pink,Herb,,11,,1,,16,,28,3,Exotic,,
Gazania rigens,Herb,,5,,38,,,,43,2,Exotic,,
Gazania spp. Assorted,Herb,2,12,1,20,,18,,53,5,Exotic,,
Gazania tomentosa,Herb,,22,,6,,4,,32,3,Exotic,None,
Geijera parviflora,Shrub,,1,,,2,30,,33,3,Native,,
Geranium spp. Assorted,Herb,1,10,,4,,19,1,35,5,Exotic,,
Geranium spp. Caliope Big Red,Herb,,10,,9,,6,1,26,4,Exotic,,
Gibasis geniculata,Herb,,10,,7,,9,,26,3,Exotic,,
Ginkgo biloba,Tree,6,41,,7,6,86,3,149,6,Exotic,,
Ginkgo biloba Princeton Sentry,Tree,3,2,,,,23,,28,3,Exotic,,
Gleditsia triacanthos Inermis Elegantissima,Tree,,3,,,2,33,2,40,4,Exotic,,
